 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
2.840079,-0.5,-3.90625,-696.767001,-1300.631735,-5.925,-46.2890625,-2090.301003,-3901.895205
2.850753,-0.5,0,-735.94348,-3917.647843,-5.925,0,-2207.83044,-11752.943529
2.859789,-0.539063,-3.90625,-746.352204,-1040.872406,-6.38789655,-46.2890625,-2239.056612,-3122.617218
2.870252,-0.539063,0,-804.926148,-5857.394442,-6.38789655,0,-2414.778444,-17572.183326
2.879797,-0.5625,-2.34375,-811.886011,-695.986318,-6.665625,-27.7734375,-2435.658033,-2087.958954
2.890039,-0.5625,0,-851.06383,-3917.781858,-6.665625,0,-2553.19149,-11753.345574
2.89979,-0.5625,0,-876.424189,-2536.035952,-6.665625,0,-2629.272567,-7608.107856
2.910428,-0.5625,0,-906.453952,-3002.976283,-6.665625,0,-2719.361856,-9008.928849
2.919804,-0.578125,-1.5625,-915.248032,-879.408008,-6.85078125,-18.515625,-2745.744096,-2638.224024
2.929948,-0.578125,0,-921.658986,-641.095396,-6.85078125,0,-2764.976958,-1923.286188
2.939803,-0.578125,0,-938.482474,-1682.348766,-6.85078125,0,-2815.447422,-5047.046298
2.950312,-0.578125,0,-967.819985,-2933.751164,-6.85078125,0,-2903.459955,-8801.253492
2.959806,-0.578125,0,-973.852072,-603.208639,-6.85078125,0,-2921.556216,-1809.625917
2.970123,-0.578125,0,-937.031484,3682.058761,-6.85078125,0,-2811.094452,11046.176283
2.979794,-0.617188,-3.90625,-946.431952,-940.046728,-7.3136778,-46.2890625,-2839.295856,-2820.140184
2.996516,-0.617188,0,-988.533017,-4210.106546,-7.3136778,0,-2965.599051,-12630.319638
3.004281,-0.664063,-4.6875,-1010.764643,-2223.162645,-7.86914655,-55.546875,-3032.293929,-6669.487935
3.011459,-0.664063,0,-1042.807237,-3204.259363,-7.86914655,0,-3128.421711,-9612.778089
3.020461,-0.71875,-5.46875,-1062.92517,-2011.793299,-8.5171875,-64.8046875,-3188.77551,-6035.379897
3.035906,-0.757813,-3.90625,-1090.869423,-2794.425286,-8.98008405,-46.2890625,-3272.608269,-8383.275858
3.040197,-0.757813,0,-1106.684374,-1581.495069,-8.98008405,0,-3320.053122,-4744.485207
3.05612,-0.757813,0,-1150.086256,-4340.188285,-8.98008405,0,-3450.258768,-13020.564855
3.060225,-0.757813,0,-1165.43325,-1534.699334,-8.98008405,0,-3496.29975,-4604.098002
3.075072,-0.78125,-2.34375,-1221.59785,-5616.460018,-9.2578125,-27.7734375,-3664.79355,-16849.380054
3.080257,-0.78125,0,-1252.897325,-3129.947508,-9.2578125,0,-3758.691975,-9389.842524
3.096395,-0.78125,0,-1260.557166,-765.98412,-9.2578125,0,-3781.671498,-2297.95236
3.100201,-0.78125,0,-1275.022313,-1446.514662,-9.2578125,0,-3825.066939,-4339.543986
3.115628,-0.796875,-1.5625,-1290.572369,-1555.005596,-9.44296875,-18.515625,-3871.717107,-4665.016788
3.120304,-0.796875,0,-1264.942129,2563.023995,-9.44296875,0,-3794.826387,7689.071985
3.134714,-0.820313,-2.34375,-1348.617667,-8367.553799,-9.72070905,-27.7734375,-4045.853001,-25102.661397
3.1403,-0.820313,0,-1331.823933,1679.373402,-9.72070905,0,-3995.471799,5038.120206
3.155778,-0.835938,-1.5625,-1338.240214,-641.628124,-9.9058653,-18.515625,-4014.720642,-1924.884372
3.160245,-0.835938,0,-1342.912778,-467.25637,-9.9058653,0,-4028.738334,-1401.76911
3.175065,-0.882813,-4.6875,-1363.047775,-2013.499701,-10.46133405,-55.546875,-4089.143325,-6040.499103
3.180307,-0.882813,0,-1347.254968,1579.280682,-10.46133405,0,-4041.764904,4737.842046
3.190927,-0.882813,0,-1419.043565,-7178.859663,-10.46133405,0,-4257.130695,-21536.578989
3.19996,-0.898438,-1.5625,-1446.654611,-2761.104657,-10.6464903,-18.515625,-4339.963833,-8283.313971
